Sede,Concepto,Profesional Historia,Ingresos,Atenciones,Uds
CDMX,Espermocultivo,Giovanni López Salamanca,482.76,1,1
CDMX,Espermocultivo,Gisela Cuevas Velasco,482.76,1,1
CDMX,Espermocultivo,Jaime Antonio Hidalgo Carrera,482.76,1,1
CDMX,Espermocultivo,Jefsi Argelia Leon Dominguez,1301.73,4,4
CDMX,Espermocultivo,Laboratorio FIV/Andrología,1784.49,3,3
CDMX,Espermocultivo,Ruben Gonzalez Ruiz,965.52,2,2
CDMX,Essentials Surrogacy Package CDMX,Monica Olavarria,94655.17,1,1
CDMX,Estradiol,(Sin asignar),521.55,1,1
CDMX,Estradiol,Alejandro Sanchez Aranda,3650.85,7,7
CDMX,Estradiol,Armando Miguel Roque Sanchez,521.55,4,4
CDMX,Estradiol,Claudia Melina Robellada Zarate,521.55,1,1
CDMX,Estradiol,Eugenia Morán Orozco,1564.66,4,6
CDMX,Estradiol,Giovanni López Salamanca,2607.76,4,7
CDMX,Estradiol,Griselda Reyes Torres,521.55,1,1
CDMX,Estradiol,Jaime Antonio Hidalgo Carrera,3129.3,7,7
CDMX,Estradiol,Jairo Hernando Pedraza Pinto,1043.1,2,2
CDMX,Estradiol,Jorge Michel,521.55,1,1
CDMX,Estradiol,Maritza Ivett Rojas Valencia,1470.78,3,3
CDMX,Estradiol,Mayela Fernandez del Campo (MEFI),2086.2,6,6
CDMX,Estradiol,Monica Olavarria,1043.1,3,3
CDMX,Estradiol,Ruben Gonzalez Ruiz,521.55,1,1
CDMX,Estudio Homosisteina,Alejandro Sanchez Aranda,2000.0,1,1
CDMX,Estudio Urea,Armando Miguel Roque Sanchez,111.2,1,1
CDMX,Estudio creatinina,Armando Miguel Roque Sanchez,144.0,1,1
CDMX,Examen general de orina,Armando Miguel Roque Sanchez,465.52,2,2
CDMX,Examen general de orina,Eugenia Morán Orozco,3956.92,17,17
CDMX,Examen general de orina,Giovanni López Salamanca,1396.56,6,6
CDMX,Examen general de orina,Jaime Antonio Hidalgo Carrera,465.52,3,3
CDMX,Examen general de orina,Jairo Hernando Pedraza Pinto,1396.56,6,6
CDMX,Examen general de orina,Ruben Gonzalez Ruiz,232.76,1,1
CDMX,Exudado vaginal cultivo,Eugenia Morán Orozco,3879.3,6,6
CDMX,FIV  - CDMX,Norma Sharey Vazquez Jimenez,120689.66,1,1
CDMX,FIV (sin transferencia) - CDMX,Eugenia Morán Orozco,96551.72,1,1
CDMX,FIV - CDMX,Armando Miguel Roque Sanchez,211206.9,2,2
CDMX,FIV - CDMX,Eugenia Morán Orozco,337069.07,3,3
CDMX,FIV - CDMX,Giovanni López Salamanca,90517.24,1,1
CDMX,FIV - CDMX,Jaime Antonio Hidalgo Carrera,294482.76,3,3
CDMX,FIV - CDMX,Jairo Hernando Pedraza Pinto,575000.0,6,6
CDMX,FIV - CDMX,Ruben Gonzalez Ruiz,-90517.24,1,-1
CDMX,FIV Integral - CDMX,Armando Miguel Roque Sanchez,241379.32,2,2
CDMX,FIV Integral - CDMX,Eugenia Morán Orozco,289655.16,3,3
CDMX,FIV Integral - CDMX,Giovanni López Salamanca,362068.98,3,3
CDMX,FIV Integral - CDMX,Jaime Antonio Hidalgo Carrera,225862.07,2,2
CDMX,FIV Integral - CDMX,Jairo Hernando Pedraza Pinto,327586.22,3,3
CDMX,FIV Integral - CDMX,Ruben Gonzalez Ruiz,113448.28,1,1
CDMX,FIV con 3 Transferencias / IVF with 3 Transfers - CDMX,Alma Victoria Villarreal Barranca,693965.54,6,6
CDMX,FIV con 3 Transferencias / IVF with 3 Transfers - CDMX,Armando Miguel Roque Sanchez,1581034.52,15,15
CDMX,FIV con 3 Transferencias / IVF with 3 Transfers - CDMX,Eugenia Morán Orozco,965517.27,9,9
CDMX,FIV con 3 Transferencias / IVF with 3 Transfers - CDMX,Giovanni López Salamanca,1261206.91,12,12
CDMX,FIV con 3 Transferencias / IVF with 3 Transfers - CDMX,Jaime Antonio Hidalgo Carrera,325862.07,3,3
CDMX,FIV con 3 Transferencias / IVF with 3 Transfers - CDMX,Jairo Hernando Pedraza Pinto,603448.29,6,6
CDMX,FIV con 3 Transferencias / IVF with 3 Transfers - CDMX,Miranda Lucía Morán Morales,325862.08,3,3
CDMX,FIV con 3 Transferencias / IVF with 3 Transfers - CDMX,Monica Olavarria,108620.69,1,1
CDMX,FIV con 3 Transferencias / IVF with 3 Transfers - CDMX,Ruben Gonzalez Ruiz,78620.69,1,1
CDMX,FSH,(Sin asignar),387.93,1,1
CDMX,FSH,Alejandro Sanchez Aranda,3103.44,8,8
CDMX,FSH,Armando Miguel Roque Sanchez,387.93,1,1
CDMX,FSH,Eugenia Morán Orozco,0.0,4,4
CDMX,FSH,Gerardo Armando Paladino Barquera,387.93,1,1
CDMX,FSH,Giovanni López Salamanca,775.86,4,4
CDMX,FSH,Griselda Reyes Torres,387.93,1,1
CDMX,FSH,Jaime Antonio Hidalgo Carrera,1163.79,3,3
CDMX,FSH,Mayela Fernandez del Campo (MEFI),775.86,3,3
CDMX,FSH,Monica Olavarria,0.0,1,1
CDMX,FSH,Monica Yazmin Olavarria Guadarrama,387.93,1,1
CDMX,FSH,Ruben Gonzalez Ruiz,775.86,7,7
CDMX,"FSH, LH, Estradiol",Alejandro Sanchez Aranda,1379.31,1,1
CDMX,"FSH, LH, Estradiol",Carlos Andres Lejtik Alva,1379.31,1,1
CDMX,Ferritina,Alejandro Sanchez Aranda,361.21,1,1
CDMX,Ferritina,Jaime Antonio Hidalgo Carrera,361.21,1,1
CDMX,Fertility Check Up CDMX,Armando Miguel Roque Sanchez,3879.3,3,3
CDMX,Fertility Check Up CDMX,Eugenia Morán Orozco,5603.45,4,4
CDMX,Fertility Check Up CDMX,Giovanni López Salamanca,3103.44,2,2
CDMX,Fertility Check Up CDMX,Jaime Antonio Hidalgo Carrera,3103.44,2,2
CDMX,Fertility Check Up CDMX,Jairo Hernando Pedraza Pinto,3103.44,2,2
CDMX,Fertility Check Up CDMX,Monica Olavarria,1551.72,1,1
CDMX,Fertility Check Up CDMX,Ruben Gonzalez Ruiz,4849.14,3,3
CDMX,Fertility Check Up online,Eugenia Morán Orozco,2241.38,2,2
CDMX,Fertility Check Up online,Jaime Antonio Hidalgo Carrera,4482.76,4,4
CDMX,Fertility Check Up online,Jairo Hernando Pedraza Pinto,8706.9,8,8
CDMX,Fertilizacion CDMX,Gerardo Armando Paladino Barquera,10905.17,2,2
CDMX,Fertilización de óvulos congelados y transferencia (DFT) + 6 OVODONO - CDMX,Eugenia Morán Orozco,119655.17,1,1
CDMX,Fertilización de óvulos congelados y transferencia (DFT) - CDMX,Eugenia Morán Orozco,42068.97,1,1
CDMX,Fertilización de óvulos congelados y transferencia (DFT) - CDMX,Giovanni López Salamanca,94827.59,1,1
CDMX,Fertilización de óvulos congelados y transferencia (DFT) - CDMX,Jaime Antonio Hidalgo Carrera,94827.59,1,1
CDMX,"Fertilización, crecimiento y desarrollo embrionario a día 5",Eugenia Morán Orozco,16982.76,1,1
CDMX,"Fertilización, crecimiento y desarrollo embrionario a día 5",Giovanni López Salamanca,31418.1,2,2
CDMX,"Fertilización, crecimiento y desarrollo embrionario a día 5",Monica Olavarria,16982.76,1,1
CDMX,"Fertilización, crecimiento y desarrollo embrionario a día 5",Ruben Gonzalez Ruiz,15284.48,1,1
CDMX,Folatos,Alejandro Sanchez Aranda,438.79,1,1
CDMX,Fragmentación del ADN espermático,(Sin asignar),23620.72,7,7
CDMX,Fragmentación del ADN espermático,Adriana Galvan Luna,3189.66,1,1
CDMX,Fragmentación del ADN espermático,Alejandro Sanchez Aranda,3189.66,1,1
CDMX,Fragmentación del ADN espermático,Alma Victoria Villarreal Barranca,3448.28,1,1
CDMX,Fragmentación del ADN espermático,Armando Miguel Roque Sanchez,23620.72,7,7
CDMX,Fragmentación del ADN espermático,Axel Cayetano,3448.28,1,1
CDMX,Fragmentación del ADN espermático,Claudia Melina Robellada Zarate,6637.94,2,2
CDMX,Fragmentación del ADN espermático,Edith Cervantes Guerrero,3448.28,1,1
CDMX,Fragmentación del ADN espermático,Eugenia Morán Orozco,30517.28,9,9
CDMX,Fragmentación del ADN espermático,Eva Bonifacio Leon,3448.28,1,1
CDMX,Fragmentación del ADN espermático,Gerardo Armando Paladino Barquera,6724.14,2,2
CDMX,Fragmentación del ADN espermático,Giovanni López Salamanca,20431.06,6,6
CDMX,Fragmentación del ADN espermático,Jaime Antonio Hidalgo Carrera,23103.48,7,7
CDMX,Fragmentación del ADN espermático,Jairo Hernando Pedraza Pinto,9827.6,3,3
CDMX,Fragmentación del ADN espermático,Jefsi Argelia Leon Dominguez,6379.32,2,2
CDMX,Fragmentación del ADN espermático,Laboratorio FIV/Andrología,59429.38,18,18
CDMX,Fragmentación del ADN espermático,Mariela Elizaith Caballero Cedillo,2392.24,1,1
CDMX,Fragmentación del ADN espermático,Marlene Lizbeth Zamora Ramirez,3448.28,1,1
CDMX,Fragmentación del ADN espermático,Martha Esmeralda Espinosa Esparza,3017.24,1,1
CDMX,Fragmentación del ADN espermático,Mayela Fernandez del Campo (MEFI),3448.28,1,1
CDMX,Fragmentación del ADN espermático,Mayella Fernández del Campo,3189.66,1,1
CDMX,Fragmentación del ADN espermático,Miranda Lucía Morán Morales,13103.46,4,4
CDMX,Fragmentación del ADN espermático,Monica Olavarria,10086.22,3,3
CDMX,Fragmentación del ADN espermático,Monica Yazmin Olavarria Guadarrama,3189.66,1,1
CDMX,Fragmentación del ADN espermático,Ruben Gonzalez Ruiz,29612.1,9,9
CDMX,Fragmentación del ADN espermático - CDMX,(Sin asignar),44655.24,14,14
CDMX,Fragmentación del ADN espermático - CDMX,Alejandro Kava Braveman,3189.66,1,1
CDMX,Fragmentación del ADN espermático - CDMX,Alejandro Sanchez Aranda,15948.3,5,5
CDMX,Fragmentación del ADN espermático - CDMX,Amaranta Paulina Martinez Alvarado,3189.66,1,1
CDMX,Fragmentación del ADN espermático - CDMX,Armando Miguel Roque Sanchez,9568.98,3,3
CDMX,Fragmentación del ADN espermático - CDMX,Claudia Melina Robellada Zarate,3189.66,1,1
CDMX,Fragmentación del ADN espermático - CDMX,Eugenia Morán Orozco,25517.28,8,8
CDMX,Fragmentación del ADN espermático - CDMX,Eva Bonifacio Leon (Externa),3189.66,1,1
CDMX,Fragmentación del ADN espermático - CDMX,Gerardo Armando Paladino Barquera,6379.32,2,2
CDMX,Fragmentación del ADN espermático - CDMX,Giovanni López Salamanca,12758.64,4,4
CDMX,Fragmentación del ADN espermático - CDMX,Gisela Cuevas Velasco,3189.66,1,1
CDMX,Fragmentación del ADN espermático - CDMX,Griselda Reyes Torres,1206.9,1,1
CDMX,Fragmentación del ADN espermático - CDMX,Jaime Antonio Hidalgo Carrera,35086.26,11,11
CDMX,Fragmentación del ADN espermático - CDMX,Jairo Hernando Pedraza Pinto,12758.64,4,4
CDMX,Fragmentación del ADN espermático - CDMX,Jefsi Argelia Leon Dominguez,3189.66,1,1
CDMX,Fragmentación del ADN espermático - CDMX,Jorge Luis Santibañes Flores,3189.66,1,1
CDMX,Fragmentación del ADN espermático - CDMX,Laboratorio FIV/Andrología,53362.15,17,17
CDMX,Fragmentación del ADN espermático - CDMX,Marlene Lizbeth Zamora Ramirez,6379.32,2,2
CDMX,Fragmentación del ADN espermático - CDMX,Mayela Fernandez del Campo (MEFI),3189.66,1,1
CDMX,Fragmentación del ADN espermático - CDMX,Monica Olavarria,3189.66,1,1
CDMX,Fragmentación del ADN espermático - CDMX,Ruben Gonzalez Ruiz,20043.13,7,7
CDMX,GONAL-F PEN2.0 - 300IU,(Sin asignar),0.0,1,5
CDMX,GONAL-F PEN2.0 - 300IU,Alejandro Sanchez Aranda,16500.0,2,3
CDMX,GONAL-F PEN2.0 - 300IU,Alma Victoria Villarreal Barranca,38500.0,7,7
CDMX,GONAL-F PEN2.0 - 300IU,Armando Miguel Roque Sanchez,108950.0,17,20
CDMX,GONAL-F PEN2.0 - 300IU,Eugenia Morán Orozco,154376.0,25,29
CDMX,GONAL-F PEN2.0 - 300IU,Giovanni López Salamanca,90390.0,15,17
CDMX,GONAL-F PEN2.0 - 300IU,Jaime Antonio Hidalgo Carrera,43300.0,7,8
CDMX,GONAL-F PEN2.0 - 300IU,Jairo Hernando Pedraza Pinto,48450.0,8,9
CDMX,GONAL-F PEN2.0 - 300IU,Miranda Lucía Morán Morales,5500.0,1,1
CDMX,GONAL-F PEN2.0 - 300IU,Monica Olavarria,11000.0,1,2
CDMX,GONAL-F PEN2.0 - 300IU,Ruben Gonzalez Ruiz,78032.0,15,15
CDMX,GONAL-F PEN2.0 - 900IU,Alma Victoria Villarreal Barranca,258531.0,14,19
CDMX,GONAL-F PEN2.0 - 900IU,Armando Miguel Roque Sanchez,656556.0,45,51
CDMX,GONAL-F PEN2.0 - 900IU,Carlos Parra,13650.0,1,1
CDMX,GONAL-F PEN2.0 - 900IU,Eugenia Morán Orozco,656136.0,42,50
CDMX,GONAL-F PEN2.0 - 900IU,Giovanni López Salamanca,673476.0,41,51
CDMX,GONAL-F PEN2.0 - 900IU,Guadalupe Nolazco Beltrán,13650.0,1,1
CDMX,GONAL-F PEN2.0 - 900IU,Jaime Antonio Hidalgo Carrera,356118.0,23,27
CDMX,GONAL-F PEN2.0 - 900IU,Jairo Hernando Pedraza Pinto,582840.0,32,44
CDMX,GONAL-F PEN2.0 - 900IU,Miranda Lucía Morán Morales,27300.0,2,2
CDMX,GONAL-F PEN2.0 - 900IU,Ruben Gonzalez Ruiz,286336.56,17,22
CDMX,Globulina Transportadora de Hormonas sexuales ( SHBG),Eugenia Morán Orozco,293.1,1,1
CDMX,Globulina Transportadora de Hormonas sexuales ( SHBG),Jairo Hernando Pedraza Pinto,293.1,1,1
CDMX,Globulina Transportadora de Hormonas sexuales ( SHBG),Miranda Lucía Morán Morales,1172.4,5,5
CDMX,Globulina Transportadora de Hormonas sexuales ( SHBG),Monica Olavarria,2637.9,9,9
CDMX,Globulina Transportadora de Hormonas sexuales ( SHBG),Ruben Gonzalez Ruiz,293.1,1,1
CDMX,Glucosa,Alma Victoria Villarreal Barranca,379.32,2,2
CDMX,Glucosa,Armando Miguel Roque Sanchez,568.98,3,3
CDMX,Glucosa,Blanca Cardenas,379.32,2,2
CDMX,Glucosa,Enfermeria,189.66,1,1
CDMX,Glucosa,Eugenia Morán Orozco,8345.04,44,44
CDMX,Glucosa,Giovanni López Salamanca,474.15,3,3
CDMX,Glucosa,Jairo Hernando Pedraza Pinto,1706.94,10,10
CDMX,Glucosa,Miranda Lucía Morán Morales,189.66,1,1
CDMX,Glucosa,Monica Olavarria,189.66,1,1
CDMX,Glucosa,Ruben Gonzalez Ruiz,568.98,3,3
CDMX,Gonal F 300 UI,Armando Miguel Roque Sanchez,10036.0,2,2
CDMX,Gonal F 300 UI,Eugenia Morán Orozco,64866.0,13,13
CDMX,Gonal F 300 UI,Giovanni López Salamanca,40144.0,7,9
CDMX,Gonal F 300 UI,Jaime Antonio Hidalgo Carrera,24722.0,5,5
CDMX,Gonal F 300 UI,Jairo Hernando Pedraza Pinto,15054.0,3,3
CDMX,Gonal F 300 UI,Monica Olavarria,10036.0,2,2
CDMX,Gonal F 900 UI,Armando Miguel Roque Sanchez,76210.0,5,6
CDMX,Gonal F 900 UI,Carlos Andres Lejtik Alva,38286.0,2,3
CDMX,Gonal F 900 UI,Eugenia Morán Orozco,355526.0,21,28
CDMX,Gonal F 900 UI,Giovanni López Salamanca,266554.0,15,21
CDMX,Gonal F 900 UI,Jaime Antonio Hidalgo Carrera,178412.76,10,14
CDMX,Gonal F 900 UI,Jairo Hernando Pedraza Pinto,253792.0,13,20
CDMX,Gonal F 900 UI,Ruben Gonzalez Ruiz,140382.0,10,11
CDMX,Gonapeptyl Daily 0.1 (por ampolla),Alejandro Sanchez Aranda,10280.0,6,22
CDMX,Gonapeptyl Daily 0.1 (por ampolla),Alma Victoria Villarreal Barranca,16262.4,14,38
CDMX,Gonapeptyl Daily 0.1 (por ampolla),Armando Miguel Roque Sanchez,43598.4,42,94
CDMX,Gonapeptyl Daily 0.1 (por ampolla),Carlos Andres Lejtik Alva,904.0,1,2
CDMX,Gonapeptyl Daily 0.1 (por ampolla),Claudia Melina Robellada Zarate,3840.0,2,8
CDMX,Gonapeptyl Daily 0.1 (por ampolla),Eugenia Morán Orozco,57606.8,62,124
CDMX,Gonapeptyl Daily 0.1 (por ampolla),Giovanni López Salamanca,37539.2,42,84
CDMX,Gonapeptyl Daily 0.1 (por ampolla),Jaime Antonio Hidalgo Carrera,22096.0,24,48
CDMX,Gonapeptyl Daily 0.1 (por ampolla),Jairo Hernando Pedraza Pinto,40984.0,40,91
CDMX,Gonapeptyl Daily 0.1 (por ampolla),María de los Ángeles Flores Manzur,451.0,1,1
CDMX,Gonapeptyl Daily 0.1 (por ampolla),Miranda Lucía Morán Morales,6720.0,4,14
CDMX,Gonapeptyl Daily 0.1 (por ampolla),Monica Olavarria,11664.0,14,27
CDMX,Gonapeptyl Daily 0.1 (por ampolla),Monica Yazmin Olavarria Guadarrama,1808.0,2,4
CDMX,Gonapeptyl Daily 0.1 (por ampolla),Norma Sharey Vazquez Jimenez,904.0,1,2
CDMX,Gonapeptyl Daily 0.1 (por ampolla),Ruben Gonzalez Ruiz,15536.0,17,34
CDMX,Grupo Sanguíneo RH,Alejandro Sanchez Aranda,318.97,1,1
CDMX,Grupo Sanguíneo RH,Alma Victoria Villarreal Barranca,0.0,3,3
CDMX,Grupo Sanguíneo RH,Armando Miguel Roque Sanchez,637.94,23,23
CDMX,Grupo Sanguíneo RH,Carlos Andres Lejtik Alva,318.97,1,1
CDMX,Grupo Sanguíneo RH,Eugenia Morán Orozco,1594.85,53,53
CDMX,Grupo Sanguíneo RH,Gerardo Armando Paladino Barquera,318.97,1,1
CDMX,Grupo Sanguíneo RH,Giovanni López Salamanca,2232.79,33,33
CDMX,Grupo Sanguíneo RH,Jaime Antonio Hidalgo Carrera,318.97,20,20
CDMX,Grupo Sanguíneo RH,Jairo Hernando Pedraza Pinto,956.91,31,31
CDMX,Grupo Sanguíneo RH,Maritza Ivett Rojas Valencia,318.97,1,1
CDMX,Grupo Sanguíneo RH,María Elena González Panzzi,637.94,2,2
CDMX,Grupo Sanguíneo RH,María de los Ángeles Flores Manzur,318.97,1,1
CDMX,Grupo Sanguíneo RH,Miranda Lucía Morán Morales,0.0,1,1
CDMX,Grupo Sanguíneo RH,Monica Olavarria,318.97,6,6
CDMX,Grupo Sanguíneo RH,Monica Yazmin Olavarria Guadarrama,318.97,2,2
CDMX,Grupo Sanguíneo RH,Norma Sharey Vazquez Jimenez,0.0,1,1
CDMX,Grupo Sanguíneo RH,Ruben Gonzalez Ruiz,1802.18,25,25
CDMX,HIOSCINA 10 MG C/24 (BUSCAPINA),Giovanni López Salamanca,253.0,1,1
CDMX,Hemoglobina glicosilada,Alma Victoria Villarreal Barranca,1868.11,4,4
CDMX,Hemoglobina glicosilada,Armando Miguel Roque Sanchez,474.14,1,1
CDMX,Hemoglobina glicosilada,Eugenia Morán Orozco,19913.88,43,43
CDMX,Hemoglobina glicosilada,Giovanni López Salamanca,474.14,1,1
CDMX,Hemoglobina glicosilada,Jaime Antonio Hidalgo Carrera,919.83,2,2
CDMX,Hemoglobina glicosilada,Jairo Hernando Pedraza Pinto,948.28,2,2
CDMX,Hemoglobina glicosilada,Miranda Lucía Morán Morales,2370.7,5,5
CDMX,Hemoglobina glicosilada,Monica Olavarria,948.28,2,2
CDMX,Hepatitis B HBeAg,Armando Miguel Roque Sanchez,646.55,2,2
CDMX,Hepatitis B HBeAg,Fatima Giron Ávila,646.55,1,1
CDMX,Hepatitis B HBeAg,Giovanni López Salamanca,646.55,1,1
CDMX,Hepatitis B HBeAg,Jaime Antonio Hidalgo Carrera,0.0,1,1
CDMX,Hepatitis B superficie HBsAg,Carlos Andres Lejtik Alva,646.55,1,1
CDMX,Hepatitis B superficie HBsAg,Eugenia Morán Orozco,862.07,1,1
CDMX,Hepatitis B superficie HBsAg,José Alfonso Gutiérrez Frusch,862.07,1,1
CDMX,Hepatitis B superficie HBsAg,Miranda Lucía Morán Morales,818.97,1,1
CDMX,Hepatitis B superficie HBsAg,Ruben Gonzalez Ruiz,646.55,1,1
CDMX,Hepatitis C,Armando Miguel Roque Sanchez,818.97,1,1
CDMX,Hepatitis C,Eugenia Morán Orozco,1637.94,2,2
CDMX,Hepatitis C,Fatima Giron Ávila,818.97,1,1
CDMX,Hepatitis C,Gisela Cuevas Velasco,818.97,1,1
CDMX,Hepatitis C,Marlene Lizbeth Zamora Ramirez,818.97,1,1
CDMX,Histeroscopia con energia,Giovanni López Salamanca,6724.14,1,1
CDMX,Histeroscopia diagnostica,Alma Victoria Villarreal Barranca,90517.24,5,5
CDMX,Histeroscopia diagnostica,Armando Miguel Roque Sanchez,132586.2,7,7
CDMX,Histeroscopia diagnostica,Eugenia Morán Orozco,181034.46,9,9
CDMX,Histeroscopia diagnostica,Giovanni López Salamanca,267241.37,16,16
CDMX,Histeroscopia diagnostica,Jaime Antonio Hidalgo Carrera,21551.72,1,1
CDMX,Histeroscopia diagnostica,Jairo Hernando Pedraza Pinto,34482.76,2,2
CDMX,Histeroscopia diagnostica,Miranda Lucía Morán Morales,17241.38,1,1
CDMX,Histeroscopia diagnostica,Monica Olavarria,34482.76,2,2
CDMX,Histeroscopia diagnostica,Ruben Gonzalez Ruiz,17241.38,1,1
CDMX,Histeroscopia diagnóstica con anestesia,Armando Miguel Roque Sanchez,51724.14,3,3
CDMX,Histeroscopia diagnóstica con anestesia,Eugenia Morán Orozco,30172.42,2,2
CDMX,Histeroscopia diagnóstica con anestesia,Fatima Giron Ávila,15086.21,1,1
CDMX,Histeroscopia diagnóstica con anestesia,Jaime Antonio Hidalgo Carrera,41379.48,2,2
CDMX,Histeroscopia diagnóstica con anestesia,Jairo Hernando Pedraza Pinto,29741.38,2,2
CDMX,Histeroscopia diagnóstica con anestesia,Monica Olavarria,0.0,1,1
CDMX,Histeroscopia diagnóstica con anestesia,Peggy Molina Vargas,15086.21,1,1
CDMX,Histeroscopia diagnóstica con anestesia,Ruben Gonzalez Ruiz,32327.59,2,2
CDMX,Histeroscopia diagnóstica con anestesia CDMX,Armando Miguel Roque Sanchez,17241.38,1,1
CDMX,Histeroscopia diagnóstica con anestesia CDMX,Giovanni López Salamanca,16370.69,1,1
CDMX,Histeroscopia diagnóstica con anestesia CDMX,Jaime Antonio Hidalgo Carrera,13965.52,1,1
CDMX,Histeroscopía diagnóstica - CDMX,Ruben Gonzalez Ruiz,17241.38,1,1
CDMX,Histeroscopía operatoria - CDMX,Mayela Fernandez del Campo (MEFI),24137.93,1,1
CDMX,Histerosonografía,Alma Victoria Villarreal Barranca,9051.72,3,3
CDMX,Histerosonografía,Armando Miguel Roque Sanchez,3017.24,1,1
CDMX,Histerosonografía,Eugenia Morán Orozco,11810.34,4,4
CDMX,Histerosonografía,Giovanni López Salamanca,6034.48,2,2
CDMX,Histerosonografía,Jaime Antonio Hidalgo Carrera,6034.48,2,2
CDMX,Histerosonografía,Jairo Hernando Pedraza Pinto,8922.41,3,3
CDMX,Histerosonografía,José Alfonso Gutiérrez Frusch,3017.24,1,1
CDMX,Honorarios medicos,Claudia Melina Robellada Zarate,25862.07,1,1
CDMX,Honorarios médicos,Ruben Gonzalez Ruiz,81896.55,1,1
CDMX,Hormona Luteinisante (LH),Alejandro Sanchez Aranda,521.55,1,1
CDMX,Hormona Luteinisante (LH),Armando Miguel Roque Sanchez,0.0,1,1
CDMX,Hormona Luteinisante (LH),Eugenia Morán Orozco,0.0,6,6
CDMX,Hormona Luteinisante (LH),Giovanni López Salamanca,2086.21,8,10
CDMX,Hormona Luteinisante (LH),Jaime Antonio Hidalgo Carrera,1043.1,2,2
CDMX,Hormona Luteinisante (LH),Ruben Gonzalez Ruiz,521.55,2,2
CDMX,Hormona Luteinizante (LH),(Sin asignar),521.55,1,1
CDMX,Hormona Luteinizante (LH),Alejandro Sanchez Aranda,3129.3,6,6
CDMX,Hormona Luteinizante (LH),Alma Victoria Villarreal Barranca,521.55,1,1
CDMX,Hormona Luteinizante (LH),Armando Miguel Roque Sanchez,521.55,8,8
CDMX,Hormona Luteinizante (LH),Claudia Melina Robellada Zarate,1043.1,2,2
CDMX,Hormona Luteinizante (LH),Eugenia Morán Orozco,7823.25,23,23
CDMX,Hormona Luteinizante (LH),Gerardo Armando Paladino Barquera,521.55,1,1
CDMX,Hormona Luteinizante (LH),Giovanni López Salamanca,0.0,5,5
CDMX,Hormona Luteinizante (LH),Jaime Antonio Hidalgo Carrera,1564.65,3,3
CDMX,Hormona Luteinizante (LH),Jairo Hernando Pedraza Pinto,4172.4,11,11
CDMX,Hormona Luteinizante (LH),Mayela Fernandez del Campo (MEFI),1564.65,4,4
CDMX,Hormona Luteinizante (LH),Monica Olavarria,1043.1,4,4
CDMX,Idice HOMA,Jaime Antonio Hidalgo Carrera,303.28,1,1
CDMX,Inseminacion CDMX,Alma Victoria Villarreal Barranca,20689.66,1,1
CDMX,Inseminacion CDMX,Armando Miguel Roque Sanchez,34913.8,2,2
CDMX,Inseminacion CDMX,Eugenia Morán Orozco,227758.65,12,12
CDMX,Inseminacion CDMX,Giovanni López Salamanca,20689.66,1,1
CDMX,Inseminacion CDMX,Jaime Antonio Hidalgo Carrera,20689.66,1,1
CDMX,Inseminación intrauterina - CDMX,Eugenia Morán Orozco,70775.87,4,4
CDMX,Inseminación intrauterina - CDMX,Jaime Antonio Hidalgo Carrera,18965.52,1,1
CDMX,Inseminación intrauterina - CDMX,Jairo Hernando Pedraza Pinto,20689.66,1,1
CDMX,Inseminación intrauterina - CDMX,Ruben Gonzalez Ruiz,20689.66,1,1
CDMX,Insulina basal,Alma Victoria Villarreal Barranca,3764.67,8,8
CDMX,Insulina basal,Armando Miguel Roque Sanchez,3736.22,8,8
CDMX,Insulina basal,Blanca Cardenas,948.28,2,2
CDMX,Insulina basal,Enfermeria,948.28,2,2
CDMX,Insulina basal,Eugenia Morán Orozco,26077.7,57,57
CDMX,Insulina basal,Fatima Giron Ávila,474.14,1,1
CDMX,Insulina basal,Giovanni López Salamanca,3318.98,7,7
CDMX,Insulina basal,Jaime Antonio Hidalgo Carrera,1896.56,4,4
CDMX,Insulina basal,Jairo Hernando Pedraza Pinto,5215.54,12,12
CDMX,Insulina basal,Maritza Ivett Rojas Valencia,948.28,2,2
CDMX,Insulina basal,Miranda Lucía Morán Morales,1422.42,3,3
CDMX,Insulina basal,Monica Olavarria,2844.84,6,6
CDMX,Insulina basal,Ruben Gonzalez Ruiz,1422.42,3,3
CDMX,Integrated Frozen Donor Surrogacy Package CDMX,Armando Miguel Roque Sanchez,546206.9,1,2
CDMX,Integrated Frozen Donor Surrogacy Package CDMX,Eugenia Morán Orozco,277586.21,1,1
CDMX,Integrated Frozen Donor Surrogacy Package CDMX,Giovanni López Salamanca,277586.21,1,1
CDMX,LAB - RI WITNESS RFDI PATIENT ID CARDS 6-70-100/50 (PAQUETE 50 PZAS),Eugenia Morán Orozco,431.03,1,1
CDMX,LEVONORGESTREL/ ETINILESTRADIOL 0.15/0.03MG 21 TAB (MICROGYNON),Armando Miguel Roque Sanchez,414.0,1,1
CDMX,LEVONORGESTREL/ ETINILESTRADIOL 0.15/0.03MG 21 TAB (MICROGYNON),Eugenia Morán Orozco,3312.0,8,8
CDMX,LEVONORGESTREL/ ETINILESTRADIOL 0.15/0.03MG 21 TAB (MICROGYNON),Giovanni López Salamanca,5382.0,13,14
CDMX,LEVONORGESTREL/ ETINILESTRADIOL 0.15/0.03MG 21 TAB (MICROGYNON),Jaime Antonio Hidalgo Carrera,828.0,2,2
