Sede,Concepto,Profesional Historia,Ingresos,Atenciones,Uds
CDMX,5 años almacenamiento Óvulos / Embrion,Mayella Fernández del Campo,38793.09,3,3
CDMX,5 años almacenamiento Óvulos / Embrion,Ruben Gonzalez Ruiz,25862.07,1,2
CDMX,ADN Fetal - Panorama Básico,Eugenia Morán Orozco,60172.4,4,4
CDMX,ADN Fetal - Panorama Básico,Giovanni López Salamanca,30086.2,2,2
CDMX,ADN Fetal - Panorama Básico,Jairo Hernando Pedraza Pinto,15043.1,1,1
CDMX,ADN Fetal - Panorama Extendido,Giovanni López Salamanca,19181.03,2,2
CDMX,AMH (Nanogramos),Alejandro Sanchez Aranda,3017.24,2,2
CDMX,AMH (Nanogramos),Armando Miguel Roque Sanchez,0.0,5,5
CDMX,AMH (Nanogramos),Enfermeria,1724.14,1,1
CDMX,AMH (Nanogramos),Eugenia Morán Orozco,3448.28,14,14
CDMX,AMH (Nanogramos),Giovanni López Salamanca,1724.14,6,6
CDMX,AMH (Nanogramos),Jaime Antonio Hidalgo Carrera,3448.28,8,8
CDMX,AMH (Nanogramos),Jairo Hernando Pedraza Pinto,1724.14,8,8
CDMX,AMH (Nanogramos),Monica Olavarria,1724.14,4,4
CDMX,AMH (Nanogramos),Ruben Gonzalez Ruiz,1724.14,9,9
CDMX,ASPIRINA PROTEC 100MG 28 TAB,Alejandro Sanchez Aranda,480.0,2,2
CDMX,ASPIRINA PROTEC 100MG 28 TAB,Alma Victoria Villarreal Barranca,1680.0,7,7
CDMX,ASPIRINA PROTEC 100MG 28 TAB,Armando Miguel Roque Sanchez,3840.0,16,16
CDMX,ASPIRINA PROTEC 100MG 28 TAB,Blanca Cardenas,240.0,1,1
CDMX,ASPIRINA PROTEC 100MG 28 TAB,Eugenia Morán Orozco,44075.6,183,185
CDMX,ASPIRINA PROTEC 100MG 28 TAB,Giovanni López Salamanca,21979.2,92,93
CDMX,ASPIRINA PROTEC 100MG 28 TAB,Jaime Antonio Hidalgo Carrera,6000.0,25,25
CDMX,ASPIRINA PROTEC 100MG 28 TAB,Jairo Hernando Pedraza Pinto,12960.0,54,54
CDMX,ASPIRINA PROTEC 100MG 28 TAB,José Alfonso Gutiérrez Frusch,240.0,1,1
CDMX,ASPIRINA PROTEC 100MG 28 TAB,María Elena González Panzzi,240.0,1,1
CDMX,ASPIRINA PROTEC 100MG 28 TAB,Monica Olavarria,480.0,2,2
CDMX,ASPIRINA PROTEC 100MG 28 TAB,Norma Sharey Vazquez Jimenez,240.0,1,1
CDMX,ASPIRINA PROTEC 100MG 28 TAB,Ruben Gonzalez Ruiz,3091.2,13,13
CDMX,AUN NO SUCEDE EL TRATAMIENTO,Eugenia Morán Orozco,0.0,1,1
