Sede,Servicio,Subclas,Subclas2,Concepto,Ago,Jul
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Folatos,0.0,438.79
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Globulina Transportadora de Hormonas sexuales ( SHBG),586.2,586.2
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Glucosa,1991.43,3413.8799999999997
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Grupo Sanguíneo RH,637.94,637.94
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Hemoglobina glicosilada,2370.7,8246.59
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Hepatitis B HBeAg,646.55,0.0
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Hepatitis B superficie HBsAg,862.07,862.07
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Hepatitis C,1637.94,0.0
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Hormona Luteinizante (LH),5215.5,6780.15
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Idice HOMA,0.0,303.28
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Insulina basal,8928.48,15405.239999999998
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Marcadores tumorales ovario,4137.93,0.0
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Panel de detección de 10 ETS,4741.38,0.0
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Paquete Análisis Serología,123383.49,112736.95000000001
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Paquete Hormonas Basales,7758.63,31034.52
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Perfil Hepatico,566.38,629.31
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Perfil TORCH IgG e IgM,6034.48,6034.48
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Perfil Tiroideo con Ac. Antitiroideos,11120.7,9156.04
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Perfil androgenico femenino,2155.17,4310.34
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Perfil bioquímico de 24 elementos,1185.34,1185.34
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Perfil bioquímico de 35 elementos,0.0,2228.45
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Perfil de lípidos,5035.349999999999,5174.150000000001
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Perfil disparo captura,1434.0,2585.98
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Perfil inicio,1985.18,0.0
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Perfil pre captura,0.0,412.07
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Perfil pre operatorio CDMX,3448.24,3017.209999999999
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Perfil pre operatorios,862.06,646.55
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Perfil pre transferencia,478.0,478.0
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Perfil prenatal,70172.52,41465.58
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Perfil preoperatorio básico,1120.69,0.0
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Perfil preparación endometrial,3824.0,478.0
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Perfil seguimiento folicular,956.0,3345.18
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Perfil tiroideo sin anticuerpos,3586.2,1793.1
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Progesterona,4655.16,4267.23
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Prolactina,8534.460000000001,9310.32
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Química Sanguínea 28 elementos,7239.67,12368.99
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Química Sanguínea 29 elementos,0.0,2931.04
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Química Sanguínea 6 elementos,504.31,653.44
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Subunidad beta cuantitativa,2370.7,3318.98
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",T3 - Total,0.0,87.14
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",T4 - Libre,827.58,1774.1300000000003
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",T4 - Total,0.0,87.12
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",TSH,4616.37,6594.81
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Testosterona Libre,1077.59,0.0
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Testosterona Total,1353.4499999999998,0.0
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Testosterona Total y Testosterona Libre,818.97,2456.91
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Testosterona biodisponible,1379.31,0.0
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Tiempos de Coagulación,1357.76,1810.34
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",VDRL,775.86,0.0
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Vitamina B-12,810.34,1003.45
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Vitamina D,0.0,1296.55
total,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles","Vitamina D 1,25-di-hidroxi colecalciferol (Con D3)",11163.789999999999,18383.62
total,Laboratorio,Laboratorio Externo,Biopsia,Biopsia de endometrio,6206.88,1551.72
total,Laboratorio,Laboratorio Externo,Biopsia,Patología Biopsia de endometrio,0.0,6249.99
total,Laboratorio,Laboratorio Externo,"Hormonas, Sangre y Perfiles","Ac. Anti TPO (Tiroperoxidasa, Microsomales)",1060.19,0.0
total,Laboratorio,Laboratorio Externo,"Hormonas, Sangre y Perfiles",DHA-S (DHEA-SO4),0.0,474.14
total,Laboratorio,Laboratorio Externo,"Hormonas, Sangre y Perfiles",Paquete estudios diagnóstico - MET,18750.0,33750.0
total,Laboratorio,Laboratorio Externo,Patología,patología,3103.44,0.0
total,Laboratorio,Laboratorio FI,Andrología,Espermatobioscopía (ED),30749.929999999997,37499.899999999994
total,Laboratorio,Laboratorio FI,Andrología,Fragmentación del ADN espermático,101810.45999999999,92638.04
total,Laboratorio,Laboratorio FI,Andrología,[EX] Espermatobioscopía,2586.2,1293.1
total,Laboratorio,Laboratorio FI,Genética Embrionaria,PGT-A por embrion,1590043.15,1188094.96
total,Otros,,,Devolución,0.0,-10150.0
total,Otros,,,Servicios Administrativos,2586.21,39884.45999999999
total,Otros,,,Traslado de gametos locales,2586.21,7758.63
total,Otros,,,Traslado de gametos nacional,25862.06,0.0
total,Procedimientos / Quirúrgicos,,,Aspiración de quiste - CDMX,0.0,60517.229999999996
total,Procedimientos / Quirúrgicos,,,Biopsia testicular,56000.17,0.0
total,Procedimientos / Quirúrgicos,,,Histeroscopia con energia,0.0,6724.14
total,Procedimientos / Quirúrgicos,,,Histeroscopia diagnostica,258620.66000000003,219827.57000000004
total,Procedimientos / Quirúrgicos,,,Sedación (Anestesia),5172.41,10000.0
total,Procedimientos / Quirúrgicos,,,Uso de Quirófano,0.0,8620.69
total,Procedimientos / Quirúrgicos,,,[EX] Histeroscopia diagnostica,75431.04999999999,54655.2
total,Procedimientos / Quirúrgicos,,,[EX] Punción de quiste GDL,0.0,11379.31
total,Subrogación,,,All Inclusive Surrogacy Package CDMX,819396.91,543103.4400000001
total,Subrogación,,,Essentials Surrogacy Package CDMX,94655.17,0.0
total,Subrogación,,,Integrated Frozen Donor Surrogacy Package CDMX,546206.9,0.0
total,Subrogación,,,Valoración subrogada,2844.82,4267.2300000000005
total,Tratamientos de Fertilidad (FIV/ICSI),Coito Programado,,3 Coitos Programados - MET,8620.69,0.0
total,Tratamientos de Fertilidad (FIV/ICSI),Coito Programado,,Coito programado - CDMX,8620.68,4310.34
total,Tratamientos de Fertilidad (FIV/ICSI),Donación,,Donación esperma - LAFER - Europeo,43103.44,43103.44
total,Tratamientos de Fertilidad (FIV/ICSI),Donación,,Donación esperma - LAFER - Extranjero,0.0,34482.76
total,Tratamientos de Fertilidad (FIV/ICSI),Donación,,Donación esperma - LAFER - Nacional,0.0,38793.1
total,Tratamientos de Fertilidad (FIV/ICSI),Donación,,Donadora de ovulos categoria 3,146551.72,0.0
total,Tratamientos de Fertilidad (FIV/ICSI),Donación,,Donante Europeo E,47413.79,0.0
total,Tratamientos de Fertilidad (FIV/ICSI),Donación,,Donante Europeo M,24137.93,0.0
total,Tratamientos de Fertilidad (FIV/ICSI),Donación,,Óvulos FI,250000.0,0.0
total,Tratamientos de Fertilidad (FIV/ICSI),FIV / ICSI,,20 Óvulos Garantizados / 20 Eggs Guaranteed CDMX,232758.62,116379.31
total,Tratamientos de Fertilidad (FIV/ICSI),FIV / ICSI,,FIV con 3 Transferencias / IVF with 3 Transfers - CDMX,1496551.7599999998,1599137.9699999997
total,Tratamientos de Fertilidad (FIV/ICSI),FIV / ICSI,,FIV con 3 Transferencias / IVF with 3 Transfers- GDL,151724.14,80603.45
total,Tratamientos de Fertilidad (FIV/ICSI),FIV / ICSI,,FIV con 3 Transferencias / IVF with 3 Transfers- MET,230387.94,139224.14
total,Tratamientos de Fertilidad (FIV/ICSI),FIV / ICSI,,"Fertilización, crecimiento y desarrollo embrionario a día 5",33965.52,0.0
total,Tratamientos de Fertilidad (FIV/ICSI),FIV / ICSI,,[EX] Biopsia testicular para FIV/ ICSI,13793.1,13793.1
total,Tratamientos de Fertilidad (FIV/ICSI),FIV / ICSI,,[EX] Captura + Fertilización GDL,0.0,23275.86
total,Tratamientos de Fertilidad (FIV/ICSI),FIV / ICSI,,[EX] Captura + fertilización CDMX,287500.0,329770.5
total,Tratamientos de Fertilidad (FIV/ICSI),FIV / ICSI,,[EX] Captura CDMX,43620.69,0.0
total,Tratamientos de Fertilidad (FIV/ICSI),FIV / ICSI,,[EX] Captura GDL,204958.08999999997,8620.69
total,Tratamientos de Fertilidad (FIV/ICSI),FIV / ICSI,,[EX] Captura sin recuperación CDMX,16810.34,0.0
total,Tratamientos de Fertilidad (FIV/ICSI),FIV / ICSI,,[EX] Captura sin recuperación GDL,12931.04,0.0
total,Tratamientos de Fertilidad (FIV/ICSI),FIV / ICSI,,[EX] Fertilización,83200.81999999999,6034.48
total,Tratamientos de Fertilidad (FIV/ICSI),Inseminación Intrauterina (IIU),,Inseminacion CDMX,30603.449999999997,57931.04000000001
total,Tratamientos de Fertilidad (FIV/ICSI),Inseminación Intrauterina (IIU),,Inseminacion GDL,62198.29,15948.28
total,Tratamientos de Fertilidad (FIV/ICSI),Inseminación Intrauterina (IIU),,"[EX] Inseminación Intrauterina (Incluye: Uso de consultorio, enfermera, capacitación y consumibles)",38793.12,19396.56
total,Tratamientos de Fertilidad (FIV/ICSI),Transferencia Embrionaria,,Preparación endometrial,0.0,34482.76
total,Tratamientos de Fertilidad (FIV/ICSI),Transferencia Embrionaria,,Transferencia embrionaria - CDMX,0.0,11206.9
total,Tratamientos de Fertilidad (FIV/ICSI),Transferencia Embrionaria,,[EX] Transferencia GDL,36206.88,12068.96
total,Tratamientos de Fertilidad (FIV/ICSI),Transferencia Embrionaria,,[EX] Transferencia de congelados CDMX,195754.12999999998,230431.01999999996
total,Tratamientos de Fertilidad (FIV/ICSI),Transferencia Embrionaria,,[EX] Transferencia de congelados GDL,75000.0,12500.0
total,Tratamientos de Fertilidad (FIV/ICSI),Transferencia Embrionaria,,[FET] Transferencia de Embrión Congelado CDMX,896961.12,746465.4699999999
total,Tratamientos de Fertilidad (FIV/ICSI),Transferencia Embrionaria,,[FET] Transferencia de Embrión Congelado GDL - MET,0.0,58232.76
total,Wellness,Acupuntura,,Sesión de Acupuntura - CDMX,8312.05,3010.34
total,Wellness,Masajes,,Sesión de Masaje - CDMX,1551.72,0.0
total,Wellness,Nutrición,,Consulta de nutrición CDMX,0.0,7665.5
total,Wellness,Nutrición,,Consulta de nutrición GDL,2413.79,1379.31
total,Wellness,Psicología,,Terapia individual - GDL,1034.48,1034.48
