Sede,Servicio,Subclas,Subclas2,Concepto,Ago,Jul
GDL,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Química Sanguínea 6 elementos,504.31,93.1
GDL,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Subunidad beta cuantitativa,0.0,948.28
GDL,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",T3 - Total,0.0,87.14
GDL,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",T4 - Libre,827.58,946.5500000000001
GDL,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",T4 - Total,0.0,87.12
GDL,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",TSH,2288.79,775.86
GDL,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Testosterona Libre,1077.59,0.0
GDL,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Testosterona Total,275.86,0.0
GDL,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Testosterona Total y Testosterona Libre,818.97,818.97
GDL,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Testosterona biodisponible,1379.31,0.0
GDL,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Tiempos de Coagulación,905.17,0.0
GDL,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",VDRL,387.93,0.0
GDL,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Vitamina B-12,810.34,0.0
GDL,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles","Vitamina D 1,25-di-hidroxi colecalciferol (Con D3)",5646.549999999999,12866.380000000001
GDL,Laboratorio,Laboratorio Externo,Biopsia,Biopsia de endometrio,1551.72,1551.72
GDL,Laboratorio,Laboratorio Externo,"Hormonas, Sangre y Perfiles","Ac. Anti TPO (Tiroperoxidasa, Microsomales)",1060.19,0.0
GDL,Laboratorio,Laboratorio FI,Andrología,Espermatobioscopía (ED),10215.49,15517.2
GDL,Laboratorio,Laboratorio FI,Andrología,Fragmentación del ADN espermático,47586.259999999995,13793.12
GDL,Laboratorio,Laboratorio FI,Genética Embrionaria,PGT-A por embrion,362069.07,362241.52
GDL,Otros,,,Servicios Administrativos,0.0,21551.72
GDL,Otros,,,Traslado de gametos locales,0.0,2586.21
GDL,Procedimientos / Quirúrgicos,,,Histeroscopia diagnostica,43103.44,34482.76
GDL,Procedimientos / Quirúrgicos,,,Sedación (Anestesia),5172.41,0.0
GDL,Procedimientos / Quirúrgicos,,,[EX] Histeroscopia diagnostica,0.0,24482.78
GDL,Tratamientos de Fertilidad (FIV/ICSI),Donación,,Donación esperma - LAFER - Europeo,0.0,21551.72
GDL,Tratamientos de Fertilidad (FIV/ICSI),Donación,,Donación esperma - LAFER - Extranjero,0.0,34482.76
GDL,Tratamientos de Fertilidad (FIV/ICSI),Donación,,Donación esperma - LAFER - Nacional,0.0,38793.1
GDL,Tratamientos de Fertilidad (FIV/ICSI),FIV / ICSI,,FIV con 3 Transferencias / IVF with 3 Transfers- GDL,151724.14,80603.45
GDL,Tratamientos de Fertilidad (FIV/ICSI),FIV / ICSI,,[EX] Biopsia testicular para FIV/ ICSI,13793.1,0.0
GDL,Tratamientos de Fertilidad (FIV/ICSI),FIV / ICSI,,[EX] Captura + Fertilización GDL,0.0,23275.86
GDL,Tratamientos de Fertilidad (FIV/ICSI),FIV / ICSI,,[EX] Captura GDL,204958.08999999997,8620.69
