Sede,Servicio,Concepto,Valor,VsLM
GDL,Congelación y Almacenamiento de Gametos,"[EX] Desvitrificación de óvulos congelados, Fertilización + Transferencia en fresco GDL",18103.45,
GDL,Congelación y Almacenamiento de Gametos,Congelamiento de semen (por depósito) CDMX - GDL - MET,17672.41,193.0
GDL,Consultas,Consulta primera vez SOP,40861.96,259.0
GDL,Consultas,Check up ginecologico,36637.9,49.0
GDL,Consultas,Check up Fertilidad Parejas,35086.19,288.0
GDL,Consultas,Check up Fertilidad Mujeres,33982.73,60.0
GDL,Consultas,Consulta de primera vez,31810.3,34.0
GDL,Consultas,Colocacion DIU Mirena [Consultorio],12284.49,
GDL,Consultas,Check up Integral,9051.72,
GDL,Consultas,Consulta obstetricia,7758.6,
GDL,Consultas,Uso de consultorio1hr con US,1120.68,18.0
GDL,Consultas,Check up Fertilidad Hombres GDL,0.0,-100.0
GDL,Consultas,Plática de resultados,0.0,-100.0
GDL,Farmacia,GONAL-F PEN2.0 - 900IU,136500.0,11.0
GDL,Farmacia,PERGOVERIS PEN 900/450IU,130170.01,186.0
GDL,Farmacia,Merapur 75 UI (por ampolla),55180.0,13.0
GDL,Farmacia,Cetrotide 0.25mg,40614.4,69.0
GDL,Farmacia,OVIDREL F-PEN 250MCG - PLUMAS,23030.0,106.0
GDL,Farmacia,PRIMOGYN 2 MG C/28 GRAG,17000.0,467.0
GDL,Farmacia,GONAL-F PEN2.0 - 300IU,16500.0,200.0
GDL,Farmacia,UTROGESTAN 200 MG 14 CÁPSULAS,9800.0,250.0
GDL,Farmacia,Gonapeptyl Daily 0.1 (por ampolla),6528.0,240.0
GDL,Farmacia,Letz 2.5mg,3040.0,90.0
GDL,Farmacia,SUPLEMENTO ONE,1034.48,0.0
GDL,Farmacia,PROVERA 5 MG 24 TAB,450.0,
GDL,Farmacia,ASPIRINA PROTEC 100MG 28 TAB,240.0,
GDL,Farmacia,MYO D-CHIRO 40:1 (HOLIHERB),0.0,-100.0
GDL,Imágenes,Ultrasonido,5172.4,-68.0
GDL,Laboratorio,PGT-A por embrion,362069.07,0.0
GDL,Laboratorio,Fragmentación del ADN espermático,47586.26,245.0
GDL,Laboratorio,Perfil ETS,28448.28,30.0
GDL,Laboratorio,Espermatobioscopía (ED),10215.49,-34.0
GDL,Laboratorio,Antimulleriana AMH (Nanogramos),8620.7,67.0
GDL,Laboratorio,Paquete Análisis Serología,8620.68,100.0
GDL,Laboratorio,"Vitamina D 1,25-di-hidroxi colecalciferol (Con D3)",5646.55,-56.0
GDL,Laboratorio,Panel de detección de 10 ETS,4741.38,
GDL,Laboratorio,Papanicolaou,3060.35,-9.0
GDL,Laboratorio,Química Sanguínea 28 elementos,2931.04,0.0
GDL,Laboratorio,Perfil de lípidos,2475.0,-43.0
GDL,Laboratorio,TSH,2288.79,195.0
GDL,Laboratorio,Estradiol,1564.65,200.0
GDL,Laboratorio,Hormona Luteinizante (LH),1564.65,200.0
GDL,Laboratorio,Biopsia de endometrio,1551.72,0.0
GDL,Laboratorio,Testosterona biodisponible,1379.31,
GDL,Laboratorio,Insulina basal,1370.69,-48.0
GDL,Laboratorio,Prolactina,1163.79,50.0
