Sede,Servicio,Concepto,Valor,VsLM
total,Laboratorio,Patología Biopsia de endometrio,0.0,-100.0
total,Laboratorio,Perfil bioquímico de 35 elementos,0.0,-100.0
total,Laboratorio,Perfil pre captura,0.0,-100.0
total,Laboratorio,Química Sanguínea 29 elementos,0.0,-100.0
total,Laboratorio,T3 - Total,0.0,-100.0
total,Laboratorio,T4 - Total,0.0,-100.0
total,Laboratorio,Vitamina D,0.0,-100.0
total,Otros,Traslado de gametos nacional,25862.06,
total,Otros,Servicios Administrativos,2586.21,-94.0
total,Otros,Traslado de gametos locales,2586.21,-67.0
total,Otros,Devolución,0.0,-100.0
total,Procedimientos / Quirúrgicos,Histeroscopia diagnostica,258620.66,18.0
total,Procedimientos / Quirúrgicos,[EX] Histeroscopia diagnostica,75431.05,38.0
total,Procedimientos / Quirúrgicos,Biopsia testicular,56000.17,
total,Procedimientos / Quirúrgicos,Sedación (Anestesia),5172.41,-48.0
total,Procedimientos / Quirúrgicos,Aspiración de quiste - CDMX,0.0,-100.0
total,Procedimientos / Quirúrgicos,Histeroscopia con energia,0.0,-100.0
total,Procedimientos / Quirúrgicos,Uso de Quirófano,0.0,-100.0
total,Procedimientos / Quirúrgicos,[EX] Punción de quiste GDL,0.0,-100.0
total,Subrogación,All Inclusive Surrogacy Package CDMX,819396.91,51.0
total,Subrogación,Integrated Frozen Donor Surrogacy Package CDMX,546206.9,
total,Subrogación,Essentials Surrogacy Package CDMX,94655.17,
total,Subrogación,Valoración subrogada,2844.82,-33.0
total,Tratamientos de Fertilidad (FIV/ICSI),FIV con 3 Transferencias / IVF with 3 Transfers - CDMX,1496551.76,-6.0
total,Tratamientos de Fertilidad (FIV/ICSI),[FET] Transferencia de Embrión Congelado CDMX,896961.12,20.0
total,Tratamientos de Fertilidad (FIV/ICSI),[EX] Captura + fertilización CDMX,287500.0,-13.0
total,Tratamientos de Fertilidad (FIV/ICSI),Óvulos FI,250000.0,
total,Tratamientos de Fertilidad (FIV/ICSI),20 Óvulos Garantizados / 20 Eggs Guaranteed CDMX,232758.62,100.0
total,Tratamientos de Fertilidad (FIV/ICSI),FIV con 3 Transferencias / IVF with 3 Transfers- MET,230387.94,65.0
total,Tratamientos de Fertilidad (FIV/ICSI),[EX] Captura GDL,204958.09,2278.0
total,Tratamientos de Fertilidad (FIV/ICSI),[EX] Transferencia de congelados CDMX,195754.13,-15.0
total,Tratamientos de Fertilidad (FIV/ICSI),FIV con 3 Transferencias / IVF with 3 Transfers- GDL,151724.14,88.0
total,Tratamientos de Fertilidad (FIV/ICSI),Donadora de ovulos categoria 3,146551.72,
total,Tratamientos de Fertilidad (FIV/ICSI),[EX] Fertilización,83200.82,1279.0
total,Tratamientos de Fertilidad (FIV/ICSI),[EX] Transferencia de congelados GDL,75000.0,500.0
total,Tratamientos de Fertilidad (FIV/ICSI),Inseminacion GDL,62198.29,290.0
total,Tratamientos de Fertilidad (FIV/ICSI),Donante Europeo E,47413.79,
total,Tratamientos de Fertilidad (FIV/ICSI),[EX] Captura CDMX,43620.69,
total,Tratamientos de Fertilidad (FIV/ICSI),Donación esperma - LAFER - Europeo,43103.44,0.0
total,Tratamientos de Fertilidad (FIV/ICSI),"[EX] Inseminación Intrauterina (Incluye: Uso de consultorio, enfermera, capacitación y consumibles)",38793.12,100.0
total,Tratamientos de Fertilidad (FIV/ICSI),[EX] Transferencia GDL,36206.88,200.0
total,Tratamientos de Fertilidad (FIV/ICSI),"Fertilización, crecimiento y desarrollo embrionario a día 5",33965.52,
total,Tratamientos de Fertilidad (FIV/ICSI),Inseminacion CDMX,30603.45,-47.0
total,Tratamientos de Fertilidad (FIV/ICSI),Donante Europeo M,24137.93,
total,Tratamientos de Fertilidad (FIV/ICSI),[EX] Captura sin recuperación CDMX,16810.34,
total,Tratamientos de Fertilidad (FIV/ICSI),[EX] Biopsia testicular para FIV/ ICSI,13793.1,0.0
total,Tratamientos de Fertilidad (FIV/ICSI),[EX] Captura sin recuperación GDL,12931.04,
total,Tratamientos de Fertilidad (FIV/ICSI),3 Coitos Programados - MET,8620.69,
total,Tratamientos de Fertilidad (FIV/ICSI),Coito programado - CDMX,8620.68,100.0
total,Tratamientos de Fertilidad (FIV/ICSI),Donación esperma - LAFER - Extranjero,0.0,-100.0
total,Tratamientos de Fertilidad (FIV/ICSI),Donación esperma - LAFER - Nacional,0.0,-100.0
total,Tratamientos de Fertilidad (FIV/ICSI),Preparación endometrial,0.0,-100.0
total,Tratamientos de Fertilidad (FIV/ICSI),Transferencia embrionaria - CDMX,0.0,-100.0
total,Tratamientos de Fertilidad (FIV/ICSI),[EX] Captura + Fertilización GDL,0.0,-100.0
total,Tratamientos de Fertilidad (FIV/ICSI),[FET] Transferencia de Embrión Congelado GDL - MET,0.0,-100.0
total,Wellness,Sesión de Acupuntura - CDMX,8312.05,176.0
total,Wellness,Consulta de nutrición GDL,2413.79,75.0
total,Wellness,Sesión de Masaje - CDMX,1551.72,
total,Wellness,Terapia individual - GDL,1034.48,0.0
total,Wellness,Consulta de nutrición CDMX,0.0,-100.0
